airport_code,time_zone
HNL,Pacific/Honolulu
TAO,Asia/Shanghai
REP,Asia/Phnom_Penh
AKL,Pacific/Auckland
HAV,America/Havana
BOG,America/Bogota
CPT,Africa/Johannesburg
MAD,Europe/Madrid
SPN,Pacific/Saipan
SGN,Asia/Ho_Chi_Minh
DOH,Asia/Qatar
SHE,Asia/Shanghai
CRK,Asia/Manila
ZQN,Pacific/Auckland
IST,Europe/Istanbul
ULN,Asia/Ulaanbaatar
MXP,Europe/Rome
PER,Australia/Perth
ATL,America/New_York
ZNZ,Africa/Dar_es_Salaam
CEB,Asia/Manila
DMM,Asia/Riyadh
CAI,Africa/Cairo
CDG,Europe/Paris
FRA,Europe/Berlin
HKG,Asia/Hong_Kong
LIS,Europe/Lisbon
BCN,Europe/Madrid
BKI,Asia/Kuala_Lumpur
DXB,Asia/Dubai
CXR,Asia/Ho_Chi_Minh
DLC,Asia/Shanghai
SZX,Asia/Shanghai
ALA,Asia/Almaty
MEX,America/Mexico_City
RUH,Asia/Riyadh
SFO,America/Los_Angeles
SCL,America/Santiago
AUH,Asia/Dubai
RGN,Asia/Yangon
ROR,Pacific/Palau
LHR,Europe/London
KTM,Asia/Kathmandu
EZE,America/Argentina/Buenos_Aires
TLV,Asia/Jerusalem
FCO,Europe/Rome
EWR,America/New_York
NBO,Africa/Nairobi
ATH,Europe/Athens
SHA,Asia/Shanghai
VTE,Asia/Vientiane
FUK,Asia/Tokyo
FIH,Africa/Kinshasa
LAX,America/Los_Angeles
CUN,America/Cancun
NGO,Asia/Tokyo
JNB,Africa/Johannesburg
HGH,Asia/Shanghai
BUD,Europe/Budapest
JED,Asia/Riyadh
TPE,Asia/Taipei
DAR,Africa/Dar_es_Salaam
IAD,America/New_York
SYD,Australia/Sydney
MUC,Europe/Berlin
PQC,Asia/Ho_Chi_Minh
LIM,America/Lima
GIG,America/Sao_Paulo
CMN,Africa/Casablanca
CHC,Pacific/Auckland
EBB,Africa/Kampala
MTY,America/Monterrey
VIE,Europe/Vienna
CTS,Asia/Tokyo
MEL,Australia/Melbourne
TYO,Asia/Tokyo
PEK,Asia/Shanghai
KIX,Asia/Tokyo
MFM,Asia/Macau
LAS,America/Los_Angeles
BKK,Asia/Bangkok
CNS,Australia/Brisbane
TAS,Asia/Tashkent
GUM,Pacific/Guam
IKA,Asia/Tehran
ZRH,Europe/Zurich
DEL,Asia/Kolkata
PNH,Asia/Phnom_Penh
HAN,Asia/Ho_Chi_Minh
CAN,Asia/Shanghai
MLE,Indian/Maldives
PRG,Europe/Prague
ORD,America/Chicago
HEL,Europe/Helsinki
SIN,Asia/Singapore
SEA,America/Los_Angeles
JFK,America/New_York
ADD,Africa/Addis_Ababa
YVR,America/Vancouver
YYZ,America/Toronto
AMM,Asia/Amman
MNL,Asia/Manila
DPS,Asia/Makassar
HKT,Asia/Bangkok
KWI,Asia/Kuwait
AMS,Europe/Amsterdam
YNJ,Asia/Shanghai
GRU,America/Sao_Paulo
BNE,Australia/Brisbane
DAD,Asia/Ho_Chi_Minh
OKA,Asia/Tokyo
WAW,Europe/Warsaw
