"dep_sdt_30min_formatted","flight_count"
"0000","1610"
"0005","1137"
"0010","294"
"0035","6778"
"0040","840"
"0100","890"
"0105","1210"
"0130","709"
"0135","590"
"0140","796"
"0230","862"
"0235","2252"
"0240","852"
"0630","4128"
"0640","4330"
"0700","1901"
"0705","411"
"0710","2323"
"0730","6116"
"0735","6552"
"0740","622"
"0800","10493"
"0805","7163"
"0810","11890"
"0830","8220"
"0835","19007"
"0840","5928"
"0900","18015"
"0905","10417"
"0910","6310"
"0930","17594"
"0935","6106"
"0940","2281"
"1000","7891"
"1005","17183"
"1010","10817"
"1030","12168"
"1035","9251"
"1040","4621"
"1100","3658"
"1105","5285"
"1110","8624"
"1130","6659"
"1135","6202"
"1140","4437"
"1200","9042"
"1205","5212"
"1210","2707"
"1230","8262"
"1235","1926"
"1240","1018"
"1300","10052"
"1305","9108"
"1310","3190"
"1330","7539"
"1335","7428"
"1340","11882"
"1400","7136"
"1405","10333"
"1410","664"
"1430","8526"
"1435","4199"
"1440","9985"
"1500","2928"
"1505","5311"
"1510","13333"
"1530","18714"
"1535","984"
"1540","1151"
"1600","15363"
"1605","9928"
"1610","9071"
"1630","3952"
"1635","3358"
"1640","6035"
"1700","2962"
"1705","5517"
"1710","3233"
"1730","10624"
"1735","3085"
"1740","3094"
"1800","10368"
"1805","5449"
"1810","40"
"1830","857"
"1835","10504"
"1840","6710"
"1900","6235"
"1905","16518"
"1910","10031"
"1930","5899"
"1935","7628"
"1940","4528"
"2000","10130"
"2005","8315"
"2010","2793"
"2030","11490"
"2035","9185"
"2040","7498"
"2100","9894"
"2105","2979"
"2110","13317"
"2130","5854"
"2135","5161"
"2140","4958"
"2200","1721"
"2205","5960"
"2210","7176"
"2230","4100"
"2235","1509"
"2240","2676"
"2300","171"
"2305","1855"
"2310","34"
"2330","1904"
"2335","4587"
"2340","4483"
