"dep_sdt_30min_formatted","avg_fare","partition_0"
"00:30","1905000.0","Africa"
"00:00","672000.0","Asia"
"08:00","723000.0","Asia"
"09:00","737000.0","Asia"
"10:00","707000.0","Asia"
"10:30","1068000.0","Asia"
"11:30","723000.0","Asia"
"12:00","787000.0","Asia"
"13:00","803000.0","Asia"
"13:30","1040000.0","Asia"
"14:00","682000.0","Asia"
"16:30","1079000.0","Asia"
"17:00","829000.0","Asia"
"18:00","997000.0","Asia"
"18:30","749000.0","Asia"
"19:00","544000.0","Asia"
"19:30","559000.0","Asia"
"07:30","315000.0","China"
"08:00","334000.0","China"
"08:30","297000.0","China"
"09:00","404000.0","China"
"10:00","311000.0","China"
"10:30","416000.0","China"
"11:00","320000.0","China"
"12:00","266000.0","China"
"12:30","345000.0","China"
"13:00","328000.0","China"
"14:00","271000.0","China"
"14:30","372000.0","China"
"15:00","408000.0","China"
"15:30","290000.0","China"
"16:00","312000.0","China"
"16:30","273000.0","China"
"17:30","328000.0","China"
"18:00","311000.0","China"
"18:30","422000.0","China"
"19:30","314000.0","China"
"20:00","383000.0","China"
"20:30","420000.0","China"
"21:00","446000.0","China"
"21:30","294000.0","China"
"22:00","204000.0","China"
"22:30","257000.0","China"
"23:30","253000.0","China"
"08:00","1835000.0","Europe"
"09:30","2005000.0","Europe"
"10:00","1893000.0","Europe"
"10:30","2047000.0","Europe"
"11:00","1941000.0","Europe"
"11:30","2032000.0","Europe"
"12:00","1882000.0","Europe"
"12:30","1786000.0","Europe"
"13:00","2384000.0","Europe"
"13:30","2028000.0","Europe"
"21:30","2022000.0","Europe"
"23:00","1976000.0","Europe"
"06:00","261000.0","Japan"
"06:30","342000.0","Japan"
"07:00","313000.0","Japan"
"07:30","397000.0","Japan"
"08:00","397000.0","Japan"
"08:30","360000.0","Japan"
"09:00","438000.0","Japan"
"09:30","452000.0","Japan"
"10:00","373000.0","Japan"
"10:30","419000.0","Japan"
"11:00","402000.0","Japan"
"11:30","287000.0","Japan"
"12:00","353000.0","Japan"
"12:30","406000.0","Japan"
"13:00","387000.0","Japan"
"13:30","415000.0","Japan"
"14:00","373000.0","Japan"
"14:30","311000.0","Japan"
"15:00","385000.0","Japan"
"15:30","311000.0","Japan"
"16:00","321000.0","Japan"
"16:30","446000.0","Japan"
"17:00","354000.0","Japan"
"17:30","377000.0","Japan"
"18:00","377000.0","Japan"
"18:30","441000.0","Japan"
"19:00","528000.0","Japan"
"19:30","549000.0","Japan"
"20:30","441000.0","Japan"
"21:00","408000.0","Japan"
"22:30","389000.0","Japan"
"00:30","2312000.0","MiddleEast"
"01:00","2323000.0","MiddleEast"
"13:00","1926000.0","MiddleEast"
"16:30","1948000.0","MiddleEast"
"18:00","2431000.0","MiddleEast"
"18:30","2458000.0","MiddleEast"
"23:00","1753000.0","MiddleEast"
"23:30","1901000.0","MiddleEast"
"08:30","587000.0","Oceania"
"09:30","636000.0","Oceania"
"10:30","592000.0","Oceania"
"18:30","1049000.0","Oceania"
"20:00","592000.0","Oceania"
"20:30","459000.0","Oceania"
"21:30","876000.0","Oceania"
"22:00","564000.0","Oceania"
"00:30","349000.0","SouthEastAsia"
"01:00","368000.0","SouthEastAsia"
"01:30","440000.0","SouthEastAsia"
"02:00","479000.0","SouthEastAsia"
"06:00","450000.0","SouthEastAsia"
"06:30","485000.0","SouthEastAsia"
"07:00","422000.0","SouthEastAsia"
"07:30","463000.0","SouthEastAsia"
"08:00","479000.0","SouthEastAsia"
"08:30","386000.0","SouthEastAsia"
"09:00","485000.0","SouthEastAsia"
"09:30","500000.0","SouthEastAsia"
"10:00","524000.0","SouthEastAsia"
"10:30","546000.0","SouthEastAsia"
"11:00","513000.0","SouthEastAsia"
"11:30","438000.0","SouthEastAsia"
"12:00","526000.0","SouthEastAsia"
"12:30","452000.0","SouthEastAsia"
"13:00","467000.0","SouthEastAsia"
"13:30","498000.0","SouthEastAsia"
"14:00","528000.0","SouthEastAsia"
"14:30","448000.0","SouthEastAsia"
"15:00","488000.0","SouthEastAsia"
"15:30","288000.0","SouthEastAsia"
"16:00","510000.0","SouthEastAsia"
"16:30","557000.0","SouthEastAsia"
"17:00","523000.0","SouthEastAsia"
"17:30","521000.0","SouthEastAsia"
"18:00","547000.0","SouthEastAsia"
"18:30","562000.0","SouthEastAsia"
"19:00","502000.0","SouthEastAsia"
"19:30","502000.0","SouthEastAsia"
"20:00","493000.0","SouthEastAsia"
"20:30","485000.0","SouthEastAsia"
"21:00","458000.0","SouthEastAsia"
"21:30","439000.0","SouthEastAsia"
"22:00","449000.0","SouthEastAsia"
"22:30","435000.0","SouthEastAsia"
"23:30","560000.0","SouthEastAsia"
"09:00","3380000.0","USA"
"09:30","2947000.0","USA"
"10:00","3006000.0","USA"
"10:30","3298000.0","USA"
"11:30","2436000.0","USA"
"12:30","2363000.0","USA"
"14:30","2454000.0","USA"
"16:00","2530000.0","USA"
"16:30","2508000.0","USA"
"17:30","2193000.0","USA"
"18:00","2609000.0","USA"
"18:30","3007000.0","USA"
"19:00","2386000.0","USA"
"19:30","2738000.0","USA"
"20:00","2268000.0","USA"
"20:30","2356000.0","USA"
"21:00","2257000.0","USA"
"21:30","1684000.0","USA"
"22:30","2519000.0","USA"
